symbol,name
AESTHETIK.NS,AESTHETIK
AETHER.NS,AETHER
AFCONS.NS,AFCONS
AFFLE.NS,AFFLE
AFFORDABLE.NS,AFFORDABLE
AFIL.NS,AFIL
AGARIND.NS,AGARIND
AGARWALFT.NS,AGARWALFT
AGARWALTUF.NS,AGARWALTUF
AGI.NS,AGI
AGIIL.NS,AGIIL
AGNI.NS,AGNI
AGRITECH.NS,AGRITECH
AGROPHOS.NS,AGROPHOS
AGSTRA.NS,AGSTRA
AGUL.NS,AGUL
AHIMSA.NS,AHIMSA
AHL.NS,AHL
AHLADA.NS,AHLADA
AHLEAST.NS,AHLEAST
AHLUCONT.NS,AHLUCONT
AHLWEST.NS,AHLWEST
AIAENG.NS,AIAENG
AIFL.NS,AIFL
AIIL.NS,AIIL
AILIMITED.NS,AILIMITED
AIMTRON.NS,AIMTRON
AIRAN.NS,AIRAN
AIROLAM.NS,AIROLAM
AISL.NS,AISL
AJANTPHARM.NS,AJANTPHARM
AJMERA.NS,AJMERA
AJOONI.NS,AJOONI
AJRINFRA.NS,AJRINFRA
AKANKSHA.NS,AKANKSHA
AKASH.NS,AKASH
AKG.NS,AKG
AKI.NS,AKI
AKIKO.NS,AKIKO
AKSHAR.NS,AKSHAR
AKSHARCHEM.NS,AKSHARCHEM
AKSHOPTFBR.NS,AKSHOPTFBR
AKUMS.NS,AKUMS
AKZOINDIA.NS,AKZOINDIA
ALANKIT.NS,ALANKIT
ALBERTDAVD.NS,ALBERTDAVD
ALCHEM.NS,ALCHEM
ALEMBICLTD.NS,ALEMBICLTD
ALICON.NS,ALICON
ALKALI.NS,ALKALI
ALKEM.NS,ALKEM
ALKYLAMINE.NS,ALKYLAMINE
ALLCARGO.NS,ALLCARGO
ALLDIGI.NS,ALLDIGI
ALLETEC.NS,ALLETEC
ALMONDZ.NS,ALMONDZ
ALOKINDS.NS,ALOKINDS
ALPA.NS,ALPA
ALPEXSOLAR.NS,ALPEXSOLAR
ALPHAGEO.NS,ALPHAGEO
ALPSINDUS.NS,ALPSINDUS
ALUWIND.NS,ALUWIND
AMBANIORGO.NS,AMBANIORGO
AMBER.NS,AMBER
AMBEY.NS,AMBEY
AMBICAAGAR.NS,AMBICAAGAR
AMBIKCO.NS,AMBIKCO
AMBUJACEM.NS,AMBUJACEM
AMDIND.NS,AMDIND
AMEYA.NS,AMEYA
AMIABLE.NS,AMIABLE
AMIORG.NS,AMIORG
AMJLAND.NS,AMJLAND
AMJUMBO.NS,AMJUMBO
AMNPLST.NS,AMNPLST
AMRUTANJAN.NS,AMRUTANJAN
ANANDRATHI.NS,ANANDRATHI
ANANTRAJ.NS,ANANTRAJ
ANDHRAPAP.NS,ANDHRAPAP
ANDHRSUGAR.NS,ANDHRSUGAR
ANGELONE.NS,ANGELONE
ANIKINDS.NS,ANIKINDS
ANKITMETAL.NS,ANKITMETAL
ANLON.NS,ANLON
ANMOL.NS,ANMOL
ANNAPURNA.NS,ANNAPURNA
ANSALAPI.NS,ANSALAPI
ANTGRAPHIC.NS,ANTGRAPHIC
ANUHPHR.NS,ANUHPHR
ANUP.NS,ANUP
ANURAS.NS,ANURAS
APARINDS.NS,APARINDS
APCL.NS,APCL
APCOTEXIND.NS,APCOTEXIND
APEX.NS,APEX
APEXECO.NS,APEXECO
APLAPOLLO.NS,APLAPOLLO
APLLTD.NS,APLLTD
APOLLO.NS,APOLLO
APOLLOHOSP.NS,APOLLOHOSP
APOLLOPIPE.NS,APOLLOPIPE
APOLLOTYRE.NS,APOLLOTYRE
APOLSINHOT.NS,APOLSINHOT
APRAMEYA.NS,APRAMEYA
APS.NS,APS
APTECHT.NS,APTECHT
APTUS.NS,APTUS
ARABIAN.NS,ARABIAN
ARCHIDPLY.NS,ARCHIDPLY
ARCHIES.NS,ARCHIES
ARCOTECH.NS,ARCOTECH
ARE&M.NS,ARE&M
ARENTERP.NS,ARENTERP
ARHAM.NS,ARHAM
ARIES.NS,ARIES
ARIHANTACA.NS,ARIHANTACA
ARIHANTCAP.NS,ARIHANTCAP
ARIHANTSUP.NS,ARIHANTSUP
ARISTO.NS,ARISTO
ARKADE.NS,ARKADE
ARMANFIN.NS,ARMANFIN
AROGRANITE.NS,AROGRANITE
ARROWGREEN.NS,ARROWGREEN
ARSHIYA.NS,ARSHIYA
ARSSINFRA.NS,ARSSINFRA
ARTEDZ.NS,ARTEDZ
ARTEMISMED.NS,ARTEMISMED
ARTNIRMAN.NS,ARTNIRMAN
ARVEE.NS,ARVEE
ARVIND.NS,ARVIND
ARVINDFASN.NS,ARVINDFASN
ARVINDPORT.NS,ARVINDPORT
ARVSMART.NS,ARVSMART
ASAHIINDIA.NS,ASAHIINDIA
ASAHISONG.NS,ASAHISONG
ASAL.NS,ASAL
ASALCBR.NS,ASALCBR
ASCOM.NS,ASCOM
ASHALOG.NS,ASHALOG
ASHAPURMIN.NS,ASHAPURMIN
ASHIANA.NS,ASHIANA
ASHIMASYN.NS,ASHIMASYN
ASHOKA.NS,ASHOKA
ASHOKAMET.NS,ASHOKAMET
ASHOKLEY.NS,ASHOKLEY
ASIANENE.NS,ASIANENE
ASIANHOTNR.NS,ASIANHOTNR
ASIANPAINT.NS,ASIANPAINT
ASIANTILES.NS,ASIANTILES
ASIL.NS,ASIL
ASKAUTOLTD.NS,ASKAUTOLTD
ASLIND.NS,ASLIND
ASMS.NS,ASMS
ASPINWALL.NS,ASPINWALL
ASPIRE.NS,ASPIRE
ASTEC.NS,ASTEC
ASTERDM.NS,ASTERDM
ASTRAL.NS,ASTRAL
ASTRAMICRO.NS,ASTRAMICRO
ASTRAZEN.NS,ASTRAZEN
ASTRON.NS,ASTRON
ATALREAL.NS,ATALREAL
ATAM.NS,ATAM
ATCOM.NS,ATCOM
ATFL.NS,ATFL
ATGL.NS,ATGL
ATL.NS,ATL
ATLANTAA.NS,ATLANTAA
ATLASCYCLE.NS,ATLASCYCLE
ATMASTCO.NS,ATMASTCO
ATNINTER.NS,ATNINTER
ATUL.NS,ATUL
ATULAUTO.NS,ATULAUTO
AUBANK.NS,AUBANK
AURDIS.NS,AURDIS
AURIONPRO.NS,AURIONPRO
AUROIMPEX.NS,AUROIMPEX
AUROPHARMA.NS,AUROPHARMA
AURUM.NS,AURUM
AUSL.NS,AUSL
AUSOMENT.NS,AUSOMENT
AUTOAXLES.NS,AUTOAXLES
AUTOIND.NS,AUTOIND
AVADHSUGAR.NS,AVADHSUGAR
AVALON.NS,AVALON
AVANTEL.NS,AVANTEL
AVANTIFEED.NS,AVANTIFEED
AVG.NS,AVG
AVIANSH.NS,AVIANSH
AVL.NS,AVL
AVONMORE.NS,AVONMORE
AVPINFRA.NS,AVPINFRA
AVROIND.NS,AVROIND
AVSL.NS,AVSL
AVTNPL.NS,AVTNPL
AWFIS.NS,AWFIS
AWHCL.NS,AWHCL
AWL.NS,AWL
AXISBANK.NS,AXISBANK
AXISCADES.NS,AXISCADES
AXITA.NS,AXITA
AYMSYNTEX.NS,AYMSYNTEX
AZAD.NS,AZAD
BABAFP.NS,BABAFP
BAFNAPH.NS,BAFNAPH
BAGFILMS.NS,BAGFILMS
BAHETI.NS,BAHETI
BAIDFIN.NS,BAIDFIN
BAJAJ-AUTO.NS,BAJAJ-AUTO
BAJAJCON.NS,BAJAJCON
BAJAJELEC.NS,BAJAJELEC
BAJAJFINSV.NS,BAJAJFINSV
BAJAJHCARE.NS,BAJAJHCARE
BAJAJHFL.NS,BAJAJHFL
BAJAJHIND.NS,BAJAJHIND
BAJAJHLDNG.NS,BAJAJHLDNG
BAJEL.NS,BAJEL
BAJFINANCE.NS,BAJFINANCE
BALAJEE.NS,BALAJEE
BALAJITELE.NS,BALAJITELE
BALAMINES.NS,BALAMINES
BALAXI.NS,BALAXI
BALCO.NS,BALCO
BALKRISHNA.NS,BALKRISHNA
BALKRISIND.NS,BALKRISIND
BALLARPUR.NS,BALLARPUR
BALMLAWRIE.NS,BALMLAWRIE
BALPHARMA.NS,BALPHARMA
BALRAMCHIN.NS,BALRAMCHIN
BALUFORGE.NS,BALUFORGE
BANARBEADS.NS,BANARBEADS
BANARISUG.NS,BANARISUG
BANCOINDIA.NS,BANCOINDIA
BANDHANBNK.NS,BANDHANBNK
BANG.NS,BANG
BANKA.NS,BANKA
BANKBARODA.NS,BANKBARODA
BANKINDIA.NS,BANKINDIA
BANSAL.NS,BANSAL
BANSALWIRE.NS,BANSALWIRE
BANSWRAS.NS,BANSWRAS
BARBEQUE.NS,BARBEQUE
BASF.NS,BASF
BASILIC.NS,BASILIC
BASML.NS,BASML
BATAINDIA.NS,BATAINDIA
BAWEJA.NS,BAWEJA
BBL.NS,BBL
BBOX.NS,BBOX
BBTC.NS,BBTC
BBTCL.NS,BBTCL
BCG.NS,BCG
BCLIND.NS,BCLIND
BCONCEPTS.NS,BCONCEPTS
BDL.NS,BDL
BDR.NS,BDR
BEACON.NS,BEACON
BEARDSELL.NS,BEARDSELL
BECTORFOOD.NS,BECTORFOOD
BEDMUTHA.NS,BEDMUTHA
BEL.NS,BEL
BEML.NS,BEML
BEPL.NS,BEPL
BERGEPAINT.NS,BERGEPAINT
BESTAGRO.NS,BESTAGRO
BETA.NS,BETA
BEWLTD.NS,BEWLTD
BFINVEST.NS,BFINVEST
BFUTILITIE.NS,BFUTILITIE
BGLOBAL.NS,BGLOBAL
BGRENERGY.NS,BGRENERGY
BHAGCHEM.NS,BHAGCHEM
BHAGERIA.NS,BHAGERIA
BHAGYANGR.NS,BHAGYANGR
BHALCHANDR.NS,BHALCHANDR
BHANDARI.NS,BHANDARI
BHARATFORG.NS,BHARATFORG
BHARATGEAR.NS,BHARATGEAR
BHARATIDIL.NS,BHARATIDIL
BHARATRAS.NS,BHARATRAS
BHARATWIRE.NS,BHARATWIRE
BHARTIARTL.NS,BHARTIARTL
BHARTIHEXA.NS,BHARTIHEXA
BHEL.NS,BHEL
BIGBLOC.NS,BIGBLOC
BIKAJI.NS,BIKAJI
BIKEWO.NS,BIKEWO
BIL.NS,BIL
BILENERGY.NS,BILENERGY
BINANIIND.NS,BINANIIND
BIOCON.NS,BIOCON
BIOFILCHEM.NS,BIOFILCHEM
BIRDYS.NS,BIRDYS
BIRLACABLE.NS,BIRLACABLE
BIRLACORPN.NS,BIRLACORPN
BIRLAMONEY.NS,BIRLAMONEY
BKMINDST.NS,BKMINDST
BLACKBUCK.NS,BLACKBUCK
BLAL.NS,BLAL
BLBLIMITED.NS,BLBLIMITED
BLISSGVS.NS,BLISSGVS
BLKASHYAP.NS,BLKASHYAP
BLS.NS,BLS
BLSE.NS,BLSE
BLUEBLENDS.NS,BLUEBLENDS
BLUECHIP.NS,BLUECHIP
BLUECOAST.NS,BLUECOAST
BLUEDART.NS,BLUEDART
BLUEJET.NS,BLUEJET
BLUEPEBBLE.NS,BLUEPEBBLE
BLUESTARCO.NS,BLUESTARCO
BMETRICS.NS,BMETRICS
BODALCHEM.NS,BODALCHEM
BOHRAIND.NS,BOHRAIND
BOMDYEING.NS,BOMDYEING
BOROLTD.NS,BOROLTD
BORORENEW.NS,BORORENEW
BOROSCI.NS,BOROSCI
BOSCHLTD.NS,BOSCHLTD
BOSS.NS,BOSS
BPCL.NS,BPCL
BPL.NS,BPL
BRACEPORT.NS,BRACEPORT
BRFL.NS,BRFL
BRIGADE.NS,BRIGADE
BRIGHT.NS,BRIGHT
BRITANNIA.NS,BRITANNIA
BRNL.NS,BRNL
BROOKS.NS,BROOKS
BSE.NS,BSE
BSHSL.NS,BSHSL
BSL.NS,BSL
BSOFT.NS,BSOFT
BTML.NS,BTML
BULKCORP.NS,BULKCORP
BURNPUR.NS,BURNPUR
BUTTERFLY.NS,BUTTERFLY
BVCL.NS,BVCL
BYKE.NS,BYKE
C2C.NS,C2C
CADSYS.NS,CADSYS
CALSOFT.NS,CALSOFT
CAMLINFINE.NS,CAMLINFINE
CAMPUS.NS,CAMPUS
CAMS.NS,CAMS
CANARYS.NS,CANARYS
CANBK.NS,CANBK
CANDC.NS,CANDC
CANFINHOME.NS,CANFINHOME
CANTABIL.NS,CANTABIL
CAPACITE.NS,CAPACITE
CAPITALSFB.NS,CAPITALSFB
CAPLIPOINT.NS,CAPLIPOINT
CAPTRUST.NS,CAPTRUST
CARBORUNIV.NS,CARBORUNIV
CAREERP.NS,CAREERP
CARERATING.NS,CARERATING
CARRARO.NS,CARRARO
CARTRADE.NS,CARTRADE
CARYSIL.NS,CARYSIL
CASTROLIND.NS,CASTROLIND
CBAZAAR.NS,CBAZAAR
CCCL.NS,CCCL
CCHHL.NS,CCHHL
CCL.NS,CCL
CDSL.NS,CDSL
CEATLTD.NS,CEATLTD
CEIGALL.NS,CEIGALL
CELEBRITY.NS,CELEBRITY
CELLECOR.NS,CELLECOR
CELLO.NS,CELLO
CELLPOINT.NS,CELLPOINT
CENTENKA.NS,CENTENKA
CENTEXT.NS,CENTEXT
CENTRALBK.NS,CENTRALBK
CENTRUM.NS,CENTRUM
CENTUM.NS,CENTUM
CENTURYPLY.NS,CENTURYPLY
CERA.NS,CERA
CEREBRAINT.NS,CEREBRAINT
CESC.NS,CESC
CEWATER.NS,CEWATER
CGCL.NS,CGCL
CGPOWER.NS,CGPOWER
CGRAPHICS.NS,CGRAPHICS
CHALET.NS,CHALET
CHAMBLFERT.NS,CHAMBLFERT
CHAVDA.NS,CHAVDA
CHEMBOND.NS,CHEMBOND
CHEMCON.NS,CHEMCON
CHEMFAB.NS,CHEMFAB
CHEMPLASTS.NS,CHEMPLASTS
CHENNPETRO.NS,CHENNPETRO
CHETANA.NS,CHETANA
CHEVIOT.NS,CHEVIOT
CHOICEIN.NS,CHOICEIN
CHOLAFIN.NS,CHOLAFIN
CHOLAHLDNG.NS,CHOLAHLDNG
CIEINDIA.NS,CIEINDIA
CIGNITITEC.NS,CIGNITITEC
CINELINE.NS,CINELINE
CINEVISTA.NS,CINEVISTA
CIPLA.NS,CIPLA
CKFSL.NS,CKFSL
CLEAN.NS,CLEAN
CLEDUCATE.NS,CLEDUCATE
CLOUD.NS,CLOUD
CLSEL.NS,CLSEL
CLSL.NS,CLSL
CMICABLES.NS,CMICABLES
CMMIPL.NS,CMMIPL
CMNL.NS,CMNL
CMRSL.NS,CMRSL
CMSINFO.NS,CMSINFO
COALINDIA.NS,COALINDIA
COASTCORP.NS,COASTCORP
COCHINSHIP.NS,COCHINSHIP
COFFEEDAY.NS,COFFEEDAY
COFORGE.NS,COFORGE
COLPAL.NS,COLPAL
COMMITTED.NS,COMMITTED
COMPINFO.NS,COMPINFO
COMPUSOFT.NS,COMPUSOFT
COMSYN.NS,COMSYN
CONCOR.NS,CONCOR
CONCORDBIO.NS,CONCORDBIO
CONFIPET.NS,CONFIPET
CONSOFINVT.NS,CONSOFINVT
CONTI.NS,CONTI
CONTROLPR.NS,CONTROLPR
COOLCAPS.NS,COOLCAPS
CORALFINAC.NS,CORALFINAC
CORDSCABLE.NS,CORDSCABLE
COROMANDEL.NS,COROMANDEL
COSMOFIRST.NS,COSMOFIRST
COUNCODOS.NS,COUNCODOS
CPS.NS,CPS
CRAFTSMAN.NS,CRAFTSMAN
CRAYONS.NS,CRAYONS
CREATIVE.NS,CREATIVE
CREATIVEYE.NS,CREATIVEYE
CREDITACC.NS,CREDITACC
CREST.NS,CREST
CRISIL.NS,CRISIL
CROMPTON.NS,CROMPTON
CROWN.NS,CROWN
CSBBANK.NS,CSBBANK
CSLFINANCE.NS,CSLFINANCE
CTE.NS,CTE
CUB.NS,CUB
CUBEXTUB.NS,CUBEXTUB
CUMMINSIND.NS,CUMMINSIND
CUPID.NS,CUPID
CURATECH.NS,CURATECH
CYBERMEDIA.NS,CYBERMEDIA
CYBERTECH.NS,CYBERTECH
CYIENT.NS,CYIENT
CYIENTDLM.NS,CYIENTDLM
DABUR.NS,DABUR
DALBHARAT.NS,DALBHARAT
DALMIASUG.NS,DALMIASUG
DAMCAPITAL.NS,DAMCAPITAL
DAMODARIND.NS,DAMODARIND
DANGEE.NS,DANGEE
DANISH.NS,DANISH
DATAMATICS.NS,DATAMATICS
DATAPATTNS.NS,DATAPATTNS
DAVANGERE.NS,DAVANGERE
DBCORP.NS,DBCORP
DBEIL.NS,DBEIL
DBL.NS,DBL
DBOL.NS,DBOL
DBREALTY.NS,DBREALTY
DBSTOCKBRO.NS,DBSTOCKBRO
DCAL.NS,DCAL
DCBBANK.NS,DCBBANK
DCG.NS,DCG
DCI.NS,DCI
DCM.NS,DCM
DCMFINSERV.NS,DCMFINSERV
DCMNVL.NS,DCMNVL
DCMSHRIRAM.NS,DCMSHRIRAM
DCMSRIND.NS,DCMSRIND
DCW.NS,DCW
DCXINDIA.NS,DCXINDIA
DECCANCE.NS,DECCANCE
DECCANTRAN.NS,DECCANTRAN
DEEDEV.NS,DEEDEV
DEEM.NS,DEEM
DEEPAKFERT.NS,DEEPAKFERT
DEEPAKNTR.NS,DEEPAKNTR
DEEPENR.NS,DEEPENR
DEEPINDS.NS,DEEPINDS
DELAPLEX.NS,DELAPLEX
DELHIVERY.NS,DELHIVERY
DELPHIFX.NS,DELPHIFX
DELTACORP.NS,DELTACORP
DELTAMAGNT.NS,DELTAMAGNT
DEN.NS,DEN
DENEERS.NS,DENEERS
DENORA.NS,DENORA
DENTALKART.NS,DENTALKART
DESTINY.NS,DESTINY
DEVIT.NS,DEVIT
DEVYANI.NS,DEVYANI
DGCONTENT.NS,DGCONTENT
DHAMPURSUG.NS,DHAMPURSUG
DHANBANK.NS,DHANBANK
DHANI.NS,DHANI
DHANLAXMI.NS,DHANLAXMI
DHANUKA.NS,DHANUKA
DHARIWAL.NS,DHARIWAL
DHARMAJ.NS,DHARMAJ
DHARSUGAR.NS,DHARSUGAR
DHRUV.NS,DHRUV
DHTL.NS,DHTL
DHUNINV.NS,DHUNINV
DIACABS.NS,DIACABS
DIAMINESQ.NS,DIAMINESQ
DIAMONDYD.NS,DIAMONDYD
DICIND.NS,DICIND
DIFFNKG.NS,DIFFNKG
DIGIDRIVE.NS,DIGIDRIVE
DIGIKORE.NS,DIGIKORE
DIGISPICE.NS,DIGISPICE
DIGJAMLMTD.NS,DIGJAMLMTD
DIL.NS,DIL
DISHTV.NS,DISHTV
DIVGIITTS.NS,DIVGIITTS
DIVISLAB.NS,DIVISLAB
DIVYADHAN.NS,DIVYADHAN
DIXON.NS,DIXON
DJML.NS,DJML
DKEGL.NS,DKEGL
DLF.NS,DLF
DLINKINDIA.NS,DLINKINDIA
DMART.NS,DMART
DMCC.NS,DMCC
DNAMEDIA.NS,DNAMEDIA
DODLA.NS,DODLA
DOLATALGO.NS,DOLATALGO
DOLLAR.NS,DOLLAR
DOLLEX.NS,DOLLEX
DOLPHIN.NS,DOLPHIN
DOMS.NS,DOMS
DONEAR.NS,DONEAR
DPABHUSHAN.NS,DPABHUSHAN
DPEL.NS,DPEL
DPSCLTD.NS,DPSCLTD
DPWIRES.NS,DPWIRES
DQE.NS,DQE
DRCSYSTEMS.NS,DRCSYSTEMS
DREAMFOLKS.NS,DREAMFOLKS
DREDGECORP.NS,DREDGECORP
DRL.NS,DRL
DRONE.NS,DRONE
DRREDDY.NS,DRREDDY
DRSCARGO.NS,DRSCARGO
DRSDILIP.NS,DRSDILIP
DSKULKARNI.NS,DSKULKARNI
DSSL.NS,DSSL
DTIL.NS,DTIL
DTL.NS,DTL
DUCOL.NS,DUCOL
DUCON.NS,DUCON
DUGLOBAL.NS,DUGLOBAL
DURLAX.NS,DURLAX
DVL.NS,DVL
DWARKESH.NS,DWARKESH
DYCL.NS,DYCL
DYNAMATECH.NS,DYNAMATECH
DYNAMIC.NS,DYNAMIC
DYNPRO.NS,DYNPRO
E2E.NS,E2E
EASEMYTRIP.NS,EASEMYTRIP
EASTSILK.NS,EASTSILK
EASUNREYRL.NS,EASUNREYRL
ECLERX.NS,ECLERX
ECOSMOBLTY.NS,ECOSMOBLTY
EDELWEISS.NS,EDELWEISS
EDUCOMP.NS,EDUCOMP
EFACTOR.NS,EFACTOR
EFFWA.NS,EFFWA
EFORCE.NS,EFORCE
EICHERMOT.NS,EICHERMOT
EIDPARRY.NS,EIDPARRY
EIEL.NS,EIEL
EIFFL.NS,EIFFL
EIHAHOTELS.NS,EIHAHOTELS
EIHOTEL.NS,EIHOTEL
EIMCOELECO.NS,EIMCOELECO
EKC.NS,EKC
ELDEHSG.NS,ELDEHSG
ELECON.NS,ELECON
ELECTCAST.NS,ELECTCAST
ELECTHERM.NS,ELECTHERM
ELGIEQUIP.NS,ELGIEQUIP
ELGIRUBCO.NS,ELGIRUBCO
ELIN.NS,ELIN
EMAMILTD.NS,EMAMILTD
EMAMIPAP.NS,EMAMIPAP
EMAMIREAL.NS,EMAMIREAL
EMBDL.NS,EMBDL
EMCURE.NS,EMCURE
EMIL.NS,EMIL
EMKAY.NS,EMKAY
EMKAYTOOLS.NS,EMKAYTOOLS
EMMBI.NS,EMMBI
EMMIL.NS,EMMIL
EMSLIMITED.NS,EMSLIMITED
EMUDHRA.NS,EMUDHRA
ENDURANCE.NS,ENDURANCE
ENERGYDEV.NS,ENERGYDEV
ENFUSE.NS,ENFUSE
ENGINERSIN.NS,ENGINERSIN
ENIL.NS,ENIL
ENSER.NS,ENSER
ENTERO.NS,ENTERO
ENVIRO.NS,ENVIRO
EON.NS,EON
EPACK.NS,EPACK
EPIGRAL.NS,EPIGRAL
EPL.NS,EPL
EQUIPPP.NS,EQUIPPP
EQUITASBNK.NS,EQUITASBNK
ERIS.NS,ERIS
EROSMEDIA.NS,EROSMEDIA
ESABINDIA.NS,ESABINDIA
ESAFSFB.NS,ESAFSFB
ESCONET.NS,ESCONET
ESCORTS.NS,ESCORTS
ESFL.NS,ESFL
ESPRIT.NS,ESPRIT
ESSARSHPNG.NS,ESSARSHPNG
ESSENTIA.NS,ESSENTIA
ESTER.NS,ESTER
ETHOSLTD.NS,ETHOSLTD
ETML.NS,ETML
EUREKAFORB.NS,EUREKAFORB
EUROBOND.NS,EUROBOND
EUROCERA.NS,EUROCERA
EUROMULTI.NS,EUROMULTI
EUROTEXIND.NS,EUROTEXIND
EVEREADY.NS,EVEREADY
EVERESTIND.NS,EVERESTIND
EXCEL.NS,EXCEL
EXCELINDUS.NS,EXCELINDUS
EXCELLENT.NS,EXCELLENT
EXICOM.NS,EXICOM
EXIDEIND.NS,EXIDEIND
EXPLEOSOL.NS,EXPLEOSOL
EXXARO.NS,EXXARO
FACT.NS,FACT
FAIRCHEMOR.NS,FAIRCHEMOR
FALCONTECH.NS,FALCONTECH
FAZE3Q.NS,FAZE3Q
FCL.NS,FCL
FCONSUMER.NS,FCONSUMER
FCSSOFT.NS,FCSSOFT
FDC.NS,FDC
FEDDERELEC.NS,FEDDERELEC
FEDERALBNK.NS,FEDERALBNK
FEDFINA.NS,FEDFINA
FEL.NS,FEL
FELIX.NS,FELIX
FIBERWEB.NS,FIBERWEB
FIDEL.NS,FIDEL
FIEMIND.NS,FIEMIND
FILATEX.NS,FILATEX
FILATFASH.NS,FILATFASH
FINCABLES.NS,FINCABLES
FINEORG.NS,FINEORG
FINOPB.NS,FINOPB
FINPIPE.NS,FINPIPE
FIRSTCRY.NS,FIRSTCRY
FIVECORE.NS,FIVECORE
FIVESTAR.NS,FIVESTAR
FLAIR.NS,FLAIR
FLEXITUFF.NS,FLEXITUFF
FLFL.NS,FLFL
FLUOROCHEM.NS,FLUOROCHEM
FMGOETZE.NS,FMGOETZE
FMNL.NS,FMNL
FOCE.NS,FOCE
FOCUS.NS,FOCUS
FONEBOX.NS,FONEBOX
FOODSIN.NS,FOODSIN
FORCAS.NS,FORCAS
FORCEMOT.NS,FORCEMOT
FORGEAUTO.NS,FORGEAUTO
FORTIS.NS,FORTIS
FOSECOIND.NS,FOSECOIND
FRESHARA.NS,FRESHARA
FRETAIL.NS,FRETAIL
FROG.NS,FROG
FSC.NS,FSC
FSL.NS,FSL
FUSION.NS,FUSION
GABRIEL.NS,GABRIEL
GAEL.NS,GAEL
GAIL.NS,GAIL
GAJANAND.NS,GAJANAND
GALAPREC.NS,GALAPREC
GALAXYSURF.NS,GALAXYSURF
GALLANTT.NS,GALLANTT
GANDHAR.NS,GANDHAR
GANDHITUBE.NS,GANDHITUBE
GANECOS.NS,GANECOS
GANESHBE.NS,GANESHBE
GANESHHOUC.NS,GANESHHOUC
GANESHIN.NS,GANESHIN
GANGAFORGE.NS,GANGAFORGE
GANGESSECU.NS,GANGESSECU
GANGOTRI.NS,GANGOTRI
GARFIBRES.NS,GARFIBRES
GARUDA.NS,GARUDA
GATECH.NS,GATECH
GATEWAY.NS,GATEWAY
GAYAHWS.NS,GAYAHWS
GAYAPROJ.NS,GAYAPROJ
GBGLOBAL.NS,GBGLOBAL
GEECEE.NS,GEECEE
GEEKAYWIRE.NS,GEEKAYWIRE
GENCON.NS,GENCON
GENESYS.NS,GENESYS
GENSOL.NS,GENSOL
GENUSPAPER.NS,GENUSPAPER
GENUSPOWER.NS,GENUSPOWER
GEOJITFSL.NS,GEOJITFSL
GEPIL.NS,GEPIL
GESHIP.NS,GESHIP
GFLLIMITED.NS,GFLLIMITED
GFSTEELS.NS,GFSTEELS
GGBL.NS,GGBL
GHCL.NS,GHCL
GHCLTEXTIL.NS,GHCLTEXTIL
GICHSGFIN.NS,GICHSGFIN
GICL.NS,GICL
GICRE.NS,GICRE
GILLANDERS.NS,GILLANDERS
GILLETTE.NS,GILLETTE
GINNIFILA.NS,GINNIFILA
GIPCL.NS,GIPCL
GIRIRAJ.NS,GIRIRAJ
GIRRESORTS.NS,GIRRESORTS
